date,title,url
2023-01-18 08:00:00,Palantir reports 26% rise in government revenue for Q3 - FedScoop,https://news.google.com/rss/articles/CBMigAFBVV95cUxPX0tlVlBSTFN1VUk5R19vU21wWW1BSmxGNFRMRlB6emhfS1IxUzc2TGg5dmVScFhhSllLNktGR1kzaGppY1lzZFZsdEdXcTZNZ3RsNHk1UGZqRERBNURTR2Y1NGF4X005NlZLRURPR0NYWGR1RkVHRGZIcGZ4NEVIdA?oc=5
2023-01-24 08:00:00,Palantir Announces Date of Fourth Quarter 2022 Earnings Release and Webcast - Palantir IR,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNQ2lOQ2JHamNuN2NGX2oxQTdkZ1J4TDJJeW1rQ2VBb3pqb3U3QVdNRV9JQ1Ztc21fMEtMNDFuM0RTQWxOekxZbkRwTzNndkZBYWpmZXdmaTlkMGRncnBWLTc3ZEFyNzZNcDhmd2s3NnRQZHAzUWVVRlkwYkFtMmtDLWRWQ2k5ZG9FVkdRUUt1ZEs3M25vWGR4Mjk2cnl3ZWYzbnVka2RGNkhqV1ZabXJEM2FZRHlZTThha0Q4UV9jcW1vYUk?oc=5
2023-02-13 08:00:00,Shares of Palantir pop as it reports first profitable quarter - CNBC,https://news.google.com/rss/articles/CBMib0FVX3lxTFBvNTR3S29hVlIzMm4zTWhsdkRMcGdOYWVyMWtfelgwbUtLd2FWenZZOGdHeTRfdGV5a1p3YXpnWlJFbC1Jay1MQWNoTFFMZmxNT3ZnWnNWQk9rcXpCRzNFWEhIUVVvOHpWTjFZb0hNONIBdEFVX3lxTE9zdkhhZVZPNHBaU2VlQ0NEMEFGV25PalN6Mldab2pQVGRLWmh3NnVVeG93RW9fbFpxTi05YkYwYnh6QUM1WEFjVDF2Z0NSeVBSblNMWS1wSWRTWUdac1ZNTVA5YS1oQVFxbHZVTUFPLXFRbjJy?oc=5
2023-02-13 08:00:00,Data analytics firm Palantir posts quarterly profit - Digital Journal,https://news.google.com/rss/articles/CBMinAFBVV95cUxOVnlxbDV6R1Z4eC1xUFlIdXVGQV9MWTlmOWV4Q2ZFaUprdTVtRmt5aFVEVWVkSGtTRl9EUld6RFQ5dUZYQnVXcVRrNW4yZFNhX1R3cGdqRkhlV0NmM1BwMkhVUTVodlotV3JGNEdqdmlCMmkySTR4MThwYV9mMjkxM3k1aUVHcm1MWFVKLW5hVGNaeEN0bEdpOVVxNjQ?oc=5
2023-02-13 08:00:00,"After-Hours Earnings Report for February 13, 2023 : CDNS, ANET, ES, ACGL, FE, SEDG, PLTR, LSCC, CAR, MEDP, BRX, AMKR - Nasdaq",https://news.google.com/rss/articles/CBMivwFBVV95cUxPUUh3S284WkxROUx1NDRLZ1lLY005bEk3MUZXaVdvN0JzUEt1UXNXM2I0c2pIbG53TXc2a28zcTJrRWlKWHBuVW1HbjJqZkFIbTRjZzJ5N3kxdlZfMmN4Qi1ZTUhBdG5oUVUteW5lanNoNXRUbjl5b1pwV1V2VmxWbDhsMXpncHUxYm0wVGJLN25UWXNOYVdXXy00V0pMd0FReXJLaVh5MTBnWDBlY29KV3FuQXU4ZkpUaXNBd2g5cw?oc=5
2023-02-14 08:00:00,Palantir expects 2023 to be first profitable year - iTnews,https://news.google.com/rss/articles/CBMikAFBVV95cUxOR2hWajBkdmRVTHNia1dNQ3g0MXg0aF9jMDQxWW5IWWwxLU9wV2VDb3RaZUppS0xIY3hfU1JTbGpXczdWSDF0bGg3RUxDMWJyTldRdnV4TDhZMVdMV0p6MmFDY3hmYksxNmw5WU1vM3pRS1AtUUxPUW9UcFFrcVBSRi1iY2pDeFNSN25MaHp3RWg?oc=5
2023-02-14 08:00:00,Palantir Stock Soars After Reporting Its First Profitable Quarter - Barron's,https://news.google.com/rss/articles/CBMigANBVV95cUxOdDlSN3NNRUZTalJoWmVJUVdUdzB3U29zdm9GTFM5XzRUU1paeGJTVkdfMHJhdXJMMk5LU24td3FWa3FxN05rQ1pBR1NId29ORnQ4Y3dHZEw0VlNQUkxFNHlpYkhvVnRETU9IRzNUanRvSXFSbXpYbE82aDQzVTBqYk9hbzYtUGRXdUJ6YzNJQ2JtcnVsNF9KdDJPbWxFZHFMdFpSOUFIOVNLMWpxdU1HcHRSX1V1Vk15R0hIWFlndUE5ZWJhclVZM3ZZY2U5ZUpkWkxlSTFWN3FyUUJBdGM5VGNGSmlqRTZCNzRtcTV5SUx5NkV4eEtFSExTRWMwc2lLZkFmdG5uMW1JdGhTNlJ6VGlsZUVOVU91cTFDc0hlZFExVTdUblF5MGdaZjBkZ1pQU0JYNktKdmg1SU9XREJ4bk5pOHkwZkZib3JJTnVYamFjc0NRQUZCc0ppTzRMNlNrOVkzZF9XMzVva2NLVFhKUy1ZanFNVG1fTDFWOFRKV1o?oc=5
2023-02-14 08:00:00,Palantir Stock Surges After It Swings to a Profit - The Wall Street Journal,https://news.google.com/rss/articles/CBMi4ANBVV95cUxQMnBvVVVfdVlzN0tQRHZDeU4xS3JDR2N3cTJoSVoxRk5hUTAxVWxtNDB6RDkzdmxmSHJtbE41RFRDREhlQWVzczlZUkE1TUlueDNtc0VLMmxzZmwwNW9jVm0yaldrc29KSVpEMGFhdTVJV1JRRFo3Smt4WVlKZGZiRmIwQjAxeGtDWFN3X0ZuRS01WUtnbXkyS0ZPMjVUVXI1MHpDRk05Ump2NnVvZUhLYXdHb0lsUk9wX1BrVWVhTTc5U0hVRnBMcThMUHhvd21uUXlPNWlod2t1eWxyUm1UcWxsX2JVVGduYktIclZGLXpCOE1mSTBpYl9SQ2hFRmFhWjNROEhxTV9IeVY1UlpxTVd0NEczN1M2bFEta0RwT1Vub2NsSkZ0bUtlZDhaZDVIV0ZuRE5aQkdZdkxDMjFOWGMxVWduQ3JhTk1BbmRBUDBEbW96eTE1MjJBRk1JVlhWYThfbU1nQ1VtMUtJd19mang0cG1SdzM3Y1JMYVFxb3NUblo0WnJmRXZLRGpHckFXRXFPLXBHcEg2SWptVmJHeVBYcG5QNmhQMGtvWUQ5QXRtamp4SWV5RU1Dbzl3Q29aaEl1TVIwSzN0bW16UmQzVG9OSm9fbmdSTmNkU05YSmQ?oc=5
2023-02-14 08:00:00,Palantir Technologies (PLTR) Q4 2022 Earnings Call Transcript - The Motley Fool,https://news.google.com/rss/articles/CBMirgFBVV95cUxNSGo3VWV6VWgtQ0FVSGdNc1BLYVRJNzR2MWFLelQ0YTR5b253ZHoxa2VBbmkzUDVGZE0zZUxqeDlkMkFFYjUtWHFwVWlJbllycHRfUHRXckljdVNjOE9vTTlDN0pVR2FpVmZydXZmSmxLc204VlN2NmRuYmtyOWhnaWJrM0l5SkZrMnRnMTVJbmJob3NKWjVscFVDN3NSbVVYSklZd3owYkpRaWRSMWc?oc=5
2023-02-14 08:00:00,Peter Thiel’s Data Firm Palantir Turns a Profit as its Private-Sector Business Booms - observer.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQVTlUZWpidEowSF9LZ281ekM5bndYRm94a19LR0l4WjJZZ0F0ZnZCVXp1Umd1SnlncVNfWjNBd1I4QUVnWnJ3RXZlR2NZR3pWUm1JclpiMWRlME5ZdTNCOEpNYjd3bkFSZ3kzVTgwOHVhSnNSTDg1bElwQlZpZXFwMXhoTUVhN2U4VFhj?oc=5
